role_key,role_family,seniority_level,base_comp,source,employer_type,region,period
DIR.director,DIR,director,162149.76,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,123178.18,public_record,Academic Medical Center,Midwest,2025-11-01
TECH,TECH,L3,124503.12,public_record,Academic Medical Center,Midwest,2025-11-01
TECH,TECH,L2,125155.3,public_record,Academic Medical Center,Midwest,2025-11-01
INT,INT,L3,81742.5,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,104347.46,public_record,Academic Medical Center,Midwest,2025-11-01
TECH,TECH,L2,107120.0,public_record,Academic Medical Center,Midwest,2025-11-01
SEC,SEC,L1,65399.88,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L3,85767.19,public_record,Academic Medical Center,Midwest,2025-11-01
TECH,TECH,L3,131306.47,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L4,143964.13,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L2,72100.0,public_record,Academic Medical Center,Midwest,2025-11-01
BI,BI,L3,117413.14,public_record,Academic Medical Center,Midwest,2025-11-01
BI,BI,L4,136208.43,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,116954.15,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,112967.81,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,110456.69,public_record,Academic Medical Center,Midwest,2025-11-01
TECH,TECH,L3,115360.0,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,110521.68,public_record,Academic Medical Center,Midwest,2025-11-01
EXEC.exec_director,EXEC,exec_director,236250.21,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,112422.98,public_record,Academic Medical Center,Midwest,2025-11-01
SEC,SEC,L3,115853.87,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,100940.0,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L1,54589.96,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L2,93730.0,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L2,68000.0,public_record,Academic Medical Center,Midwest,2025-11-01
MGR.manager,MGR,manager,142000.0,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L1,54999.88,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L3,101846.4,public_record,Academic Medical Center,Midwest,2025-11-01
EXEC.exec_director,EXEC,exec_director,184250.7,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,106657.07,public_record,Academic Medical Center,Midwest,2025-11-01
TECH,TECH,L4,172086.1,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L2,68614.01,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,117908.12,public_record,Academic Medical Center,Midwest,2025-11-01
DIR.director,DIR,director,173013.83,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L3,96929.18,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L2,74000.0,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L2,90640.0,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,106059.65,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L3,92000.0,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L2,96210.6,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,99132.2,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,114490.39,public_record,Academic Medical Center,Midwest,2025-11-01
PM,PM,L3,128750.0,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L4,118464.79,public_record,Academic Medical Center,Midwest,2025-11-01
TECH,TECH,L3,131127.24,public_record,Academic Medical Center,Midwest,2025-11-01
MGR.manager,MGR,manager,135187.5,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L2,88500.0,public_record,Academic Medical Center,Midwest,2025-11-01
EXEC.exec_director,EXEC,exec_director,216787.12,public_record,Academic Medical Center,Midwest,2025-11-01
AA,AA,L3,95463.9,public_record,Academic Medical Center,Midwest,2025-11-01
CI,CI,L2,88211.75,public_record,Academic Medical Center,Midwest,2025-11-01
